Time,X,Y,Attention
68.81167291989135,505,181,2
68.9226729809265,487,333,2
69.01567291607665,474,397,2
69.12426286076355,468,437,2
69.21726303433228,447,476,2
69.310552,447,478,0
69.4115520705719,458,454,0
69.51155197520447,490,355,2
69.61998405531311,556,198,2
69.71298399046326,568,166,2
69.81198396757507,567,148,2
69.91413801525879,556,177,0
70.02313822125244,523,187,2
70.11613815640258,503,197,2
70.22307302861023,468,199,2
70.31907322315979,450,212,2
70.4114070114441,452,260,2
70.51940705149842,443,288,2
70.61640693515015,443,288,2
70.72456809918214,464,272,0
70.81956812779237,481,333,2
70.91056820790101,481,360,2
71.02535888365173,526,319,0
71.12035891226196,619,260,2
71.21159104386902,705,181,2
71.31059102098084,698,179,2
71.41459111253357,640,161,2
71.52554995422364,539,205,2
71.61155015830994,458,272,2
71.71055013542176,454,282,2
71.81460296566773,451,286,0
71.9126030152588,442,267,0
72.02274805340576,433,247,2
72.11674791607666,430,227,0
72.21074801716614,463,229,2
72.31913810871887,470,225,2
72.41313797138977,470,234,0
72.51913791798401,475,263,0
72.61426896566772,473,276,2
72.7192689847412,480,249,0
72.81224482452393,507,276,2
72.91124504005433,530,281,2
73.02124493515015,553,224,2
73.11363793133545,533,200,2
73.22263789891052,481,266,2
73.316638,454,286,2
73.41355396566773,447,449,2
73.51655412969971,436,487,2
73.61720893896485,377,407,2
73.717209082016,354,354,2
73.81320903814698,337,370,2
73.91227015830994,327,324,0
74.01527008392334,312,321,0
74.11927017547607,314,308,0
74.2179131411438,316,270,2
74.31091307629394,458,218,2
74.42037295994568,511,155,2
74.5133731335144,517,97,2
74.61637305912781,462,67,2
74.71646386839295,438,45,2
74.82046395994568,322,0,2
74.92246395803834,303,12,2
75.0144251411438,283,61,2
75.12342510871888,305,216,2
75.21913595994567,322,298,2
75.31213589509582,374,307,2
75.42013593515014,411,326,2
75.51684203433227,436,359,2
75.62584200190734,462,415,2
75.71784200953674,464,405,0
75.81241801525879,448,390,0
75.91941812779235,473,354,2
76.01341822888183,490,369,2
76.12250496757507,506,348,0
76.21450497520446,516,346,0
76.32342507629394,554,317,2
76.41142513542175,573,289,2
76.52342512397766,579,336,2
76.61855881880189,584,345,2
76.71155899237061,546,390,2
76.82055895994569,528,384,2
76.91386893515015,512,330,2
77.0228691411438,490,397,2
77.1162270114441,454,450,2
77.22422705149842,422,370,2
77.31222687220765,412,344,2
77.41212815830994,413,327,2
77.52212805340577,419,350,0
77.61812800953675,410,345,2
77.7106411411438,406,327,0
77.8136410667572,402,319,2
77.91437191798401,376,372,2
78.02437205149842,363,382,2
78.11637205912781,393,333,2
78.21156715830993,397,286,2
78.31756710490417,424,331,2
78.42656707247924,483,353,2
78.5214529961853,584,381,2
78.61245307629395,593,362,2
78.72664400190735,542,373,2
78.82064410299682,521,378,2
78.91564413160705,510,381,2
79.01277884741211,476,375,2
79.11177882452392,452,382,2
79.21277889509582,443,396,2
79.31811105722046,422,333,2
